simulation_type,step,active_nodes,avg_ewma_pdr,resilience,redundancy_ratio,cluster_variance
Adaptive_RLNC,36,14,0.8015641315454153,0.4666666666666667,0.72,0.00289792596685711
Adaptive_RLNC,37,14,0.804954613441166,0.4666666666666667,0.72,0.0026767116115680675
Adaptive_RLNC,38,14,0.8065962942150621,0.4666666666666667,0.72,0.0019450909439792663
Adaptive_RLNC,39,13,0.8101114069989741,0.43333333333333335,0.625,0.0029018617736778305
Adaptive_RLNC,40,13,0.8045362195302016,0.43333333333333335,0.625,0.002079613218219498
Adaptive_RLNC,41,13,0.7957957016802142,0.43333333333333335,0.625,0.002371681074255564
Adaptive_RLNC,42,12,0.7926872401899495,0.4,0.6896551724137931,0.0024829376064215906
Adaptive_RLNC,43,12,0.7915377368856014,0.4,0.6896551724137931,0.003252451103155516
Adaptive_RLNC,44,12,0.7974005540831124,0.4,0.6388888888888888,0.00296007840359783
Adaptive_RLNC,45,12,0.7996428442679347,0.4,0.6388888888888888,0.0025873957112476764
Adaptive_RLNC,46,12,0.8001926630768259,0.4,0.6388888888888888,0.0022524056602377563
Adaptive_RLNC,47,12,0.7958743269586578,0.4,0.6388888888888888,0.001868153000710613
Adaptive_RLNC,48,12,0.7966970091103911,0.4,0.6388888888888888,0.0018817651230965285
Adaptive_RLNC,49,12,0.7916354930571446,0.4,0.6666666666666666,0.0020737432811174473
Baseline_RLNC,0,30,0.9397325062845787,1.0,1.0,0.0
Baseline_RLNC,1,29,0.8988294798003434,0.9666666666666667,1.0,0.0
Baseline_RLNC,2,28,0.8726592789961042,0.9333333333333333,1.0,0.0
Baseline_RLNC,3,28,0.8452016826974388,0.9333333333333333,1.0,0.0
Baseline_RLNC,4,28,0.8346359114809413,0.9333333333333333,0.5,0.0
Baseline_RLNC,5,28,0.821061457480123,0.9333333333333333,0.5,0.0
Baseline_RLNC,6,28,0.8148182444452979,0.9333333333333333,0.5,0.0
Baseline_RLNC,7,27,0.8071841500429422,0.9,0.3333333333333333,0.0
Baseline_RLNC,8,27,0.7997931690763137,0.9,0.3333333333333333,0.0
Baseline_RLNC,9,27,0.7950888321311298,0.9,0.4166666666666667,0.0
Baseline_RLNC,10,26,0.7922092961460785,0.8666666666666667,0.4166666666666667,0.0
Baseline_RLNC,11,26,0.7930658318209238,0.8666666666666667,0.4166666666666667,0.0
Baseline_RLNC,12,26,0.7943034990131742,0.8666666666666667,0.4166666666666667,0.0
